,Dia_C_Xdisp,Dia_C_Ydisp,TC1_Temp_Z0,TC1_Temp_Z5,TC1_pressure_melt,TC1_temp_melt
331,4.0,4.1,151.6,175.0,169.9,176.2
332,4.1,4.1,151.5,175.1,169.4,176.1
333,4.0,4.1,150.2,175.1,170.2,176.3
334,4.1,4.1,151.5,175.1,169.4,176.1
335,4.0,4.1,151.8,175.0,170.2,176.1
336,4.0,4.1,151.6,175.0,169.6,176.1
337,4.0,4.1,151.7,175.1,169.4,175.8
338,4.0,4.1,151.6,175.0,169.6,176.1
339,4.1,4.1,151.6,175.0,169.4,175.7
340,4.0,4.1,151.6,175.0,168.5,175.5
341,4.0,4.1,151.8,175.0,170.2,176.0
342,4.0,4.1,151.6,175.1,170.2,175.8
343,4.0,4.1,151.8,175.1,170.2,176.0
344,4.0,4.1,151.6,175.0,166.8,175.4
345,4.0,4.1,151.5,175.0,166.8,175.5
346,4.0,4.1,151.5,175.0,166.8,175.8
347,4.0,4.1,151.5,175.0,166.8,175.5
348,4.0,4.1,151.5,175.0,166.8,175.7
349,4.1,4.1,151.6,175.0,167.6,175.3
350,4.1,4.1,151.6,175.0,167.7,175.3
351,4.0,4.1,151.6,175.0,167.6,175.4
352,4.1,4.1,151.6,175.0,167.6,175.4
353,4.1,4.1,150.8,175.0,210.0,177.1
354,4.1,4.1,151.1,175.0,207.4,176.8
355,4.1,4.1,151.1,175.0,208.2,176.9
356,4.1,4.1,151.2,175.0,204.8,176.7
357,4.0,4.1,151.5,175.0,165.9,176.1
358,4.0,4.1,151.5,175.0,165.9,176.1
359,4.0,4.1,151.5,175.0,165.9,176.1
360,4.0,4.1,151.5,175.0,166.8,176.0
361,4.0,4.1,151.6,175.0,166.8,176.0
362,4.1,4.2,149.6,174.9,209.1,177.7
363,4.2,4.2,149.5,174.9,209.1,177.8
364,4.1,4.1,150.0,174.9,210.0,177.5
365,4.1,4.2,149.4,174.9,209.2,177.9
366,4.1,4.1,150.2,174.9,210.0,177.4
367,4.1,4.1,149.7,174.9,210.0,177.7
368,4.2,4.2,149.1,174.8,215.2,177.9
369,4.1,4.2,149.2,174.8,210.8,177.9
370,4.2,4.2,149.2,174.8,211.7,177.9
371,4.2,4.3,148.7,174.8,213.4,177.8
372,3.3,3.4,148.7,174.8,214.3,177.8
373,4.3,4.3,148.5,174.8,213.4,177.6
374,4.1,4.2,149.1,174.8,216.9,177.9
375,4.2,4.2,148.8,174.8,214.3,177.8
376,4.2,4.2,148.9,174.8,216.0,178.0
377,4.2,4.2,148.8,174.8,215.2,177.9
378,4.2,4.2,148.8,174.8,215.2,177.9
379,4.1,4.2,148.9,174.8,216.9,178.0
380,4.3,4.4,148.4,174.9,212.6,177.6
381,4.4,4.4,148.4,174.9,218.6,177.6
382,4.4,4.4,148.4,174.9,215.1,177.6
383,4.3,4.4,148.5,174.9,212.8,177.6
384,4.4,4.4,148.5,174.9,207.4,177.6
385,4.3,4.4,148.4,175.1,167.6,177.5
386,4.3,4.4,148.2,175.0,171.1,177.7
387,4.3,4.4,148.4,175.0,169.8,177.7
388,4.3,4.4,148.3,175.0,171.3,177.7
389,4.3,4.4,148.7,175.1,165.0,177.4
390,4.3,4.4,149.3,175.2,164.2,178.0
391,4.3,4.4,148.5,175.1,165.9,177.4
392,4.3,4.4,148.8,175.2,165.0,177.6
393,4.3,4.4,149.0,175.2,164.2,177.8
394,4.3,4.4,148.5,175.1,167.0,177.4
395,4.3,4.4,148.5,175.1,166.8,177.4
396,4.3,4.4,149.3,175.2,164.2,178.1
397,4.3,4.4,149.0,175.2,164.2,177.8
398,4.3,4.4,150.5,175.2,165.0,179.6
399,4.3,4.4,149.6,175.2,164.2,178.6
400,4.3,4.4,149.8,175.2,164.2,178.8
401,4.3,4.4,150.7,175.2,165.0,179.7
402,4.3,4.4,151.2,175.2,165.0,179.8
403,4.3,4.4,150.0,175.2,164.2,178.9
404,4.3,4.4,149.7,175.2,164.2,178.7
405,4.3,4.4,151.2,175.2,165.7,179.8
406,4.3,4.4,152.0,175.2,165.5,180.0
407,4.3,4.4,151.8,175.1,165.0,179.8
408,4.3,4.4,151.1,175.1,165.0,179.6
409,4.3,4.4,151.2,175.1,165.0,179.6
410,4.3,4.4,151.1,175.1,165.0,179.6
411,4.3,4.4,150.6,175.0,165.9,179.5
412,4.3,4.4,152.1,175.2,165.0,179.9
413,4.3,4.4,151.7,175.1,165.0,179.8
414,4.3,4.4,150.6,175.1,165.9,179.5
415,4.3,4.4,151.5,175.1,165.0,179.7
416,4.3,4.4,150.5,174.9,165.0,178.1
417,4.3,4.4,150.4,174.9,165.0,178.1
418,4.3,4.4,150.0,174.9,165.0,178.2
419,4.3,4.4,150.2,175.0,165.9,179.1
420,4.3,4.4,150.4,175.0,166.3,179.3
421,4.3,4.4,150.4,175.0,165.9,179.3
422,4.3,4.4,149.9,175.0,165.9,179.0
423,4.3,4.4,150.1,175.0,165.9,179.1
424,4.3,4.4,150.4,175.0,166.1,179.1
425,4.3,4.4,150.9,174.8,164.2,178.5
426,4.3,4.4,150.9,174.8,164.2,178.6
427,4.3,4.4,150.5,174.9,164.2,178.1
428,4.3,4.4,150.7,174.8,164.2,178.2
429,4.3,4.4,150.9,174.8,164.2,178.7
430,4.3,4.4,150.8,174.8,164.2,178.4
431,4.3,4.4,151.2,174.7,164.2,178.7
432,4.3,4.4,150.6,174.8,164.2,178.1
433,4.3,4.4,151.0,174.8,164.2,178.5
434,4.3,4.4,151.4,174.8,165.0,178.9
435,4.3,4.4,150.9,174.8,165.0,179.4
436,4.3,4.4,151.2,174.8,165.0,179.0
437,4.3,4.4,150.6,174.8,165.3,179.6
438,4.3,4.4,151.0,174.8,165.0,179.5
439,4.3,4.4,150.3,174.8,165.9,180.0
440,4.3,4.4,151.3,174.7,164.3,178.9
441,4.3,4.4,151.3,174.8,165.0,179.0
442,4.3,4.4,151.0,174.7,165.0,179.1
443,4.3,4.4,149.9,174.8,165.9,180.2
444,4.3,4.4,149.4,174.9,166.0,180.5
445,4.3,4.4,150.1,174.8,165.9,180.1
446,4.3,4.4,149.9,174.8,165.9,180.3
447,4.3,4.4,150.3,174.8,165.9,180.0
448,4.3,4.4,148.3,174.9,165.9,180.5
449,4.3,4.4,148.6,174.9,166.2,180.6
450,4.3,4.4,148.5,174.9,165.9,180.5
451,4.3,4.4,148.7,174.9,166.8,180.6
452,4.3,4.4,148.5,174.9,165.9,180.5
453,4.4,4.4,148.5,175.1,165.0,180.6
454,4.4,4.4,148.4,175.1,165.0,180.6
455,4.3,4.4,148.1,175.0,165.0,180.5
456,4.3,4.4,148.2,175.0,165.0,180.5
457,4.4,4.4,148.4,175.1,165.0,180.6
458,4.4,4.4,148.3,175.0,165.0,180.5
459,4.4,4.4,148.2,175.1,165.0,180.6
460,4.4,4.4,148.4,175.1,165.0,180.6
461,4.3,4.4,148.9,175.1,165.0,180.5
462,4.4,4.4,148.5,175.1,165.0,180.6
463,4.4,4.4,148.7,175.1,165.0,180.5
464,4.4,4.4,148.8,175.1,165.0,180.5
465,4.4,4.4,149.2,175.1,165.0,180.4
466,4.4,4.4,148.4,175.1,165.0,180.6
467,4.4,4.4,148.6,175.1,165.0,180.5
468,4.4,4.4,149.1,175.1,165.0,180.4
469,4.4,4.4,148.7,175.1,165.0,180.5
470,4.3,4.4,150.0,175.0,164.2,180.7
471,4.3,4.4,150.8,174.9,187.5,181.6
472,4.4,4.4,150.4,175.0,180.6,181.1
473,4.3,4.4,150.7,174.9,184.0,181.6
474,4.3,4.4,150.2,175.0,176.3,180.9
475,4.4,4.4,150.5,175.0,180.5,181.2
476,4.4,4.4,149.8,175.0,164.2,180.6
477,4.3,4.4,149.9,175.0,164.6,180.7
478,4.4,4.4,149.7,175.0,164.2,180.5
479,4.3,4.4,151.1,174.8,184.8,181.4
480,4.3,4.4,151.0,174.7,184.9,181.6
481,4.4,4.4,151.0,174.7,185.0,181.7
482,4.3,4.4,150.9,174.9,186.6,181.6
483,4.3,4.4,151.1,174.9,185.8,181.4
484,4.3,4.4,151.2,175.1,169.4,181.7
485,4.3,4.4,151.3,175.1,168.5,181.7
486,4.3,4.4,151.0,175.1,168.3,181.8
487,4.3,4.4,150.8,175.2,167.6,182.1
488,4.3,4.4,150.3,175.3,167.6,182.3
489,4.3,4.4,150.0,175.3,167.6,182.2
490,4.3,4.4,149.9,175.3,167.6,182.2
491,4.3,4.4,149.6,175.4,166.8,181.7
492,4.3,4.4,150.4,175.2,167.6,182.2
493,4.3,4.4,149.8,175.4,167.6,182.0
494,4.3,4.4,149.8,175.4,167.5,182.0
495,4.3,4.4,150.3,175.3,167.6,182.2
496,4.3,4.4,150.1,175.3,166.8,182.2
497,4.3,4.4,149.3,175.0,197.0,181.5
498,4.3,4.3,149.3,175.0,196.1,181.6
499,4.3,4.4,149.2,175.2,164.2,181.1
500,4.3,4.4,149.3,175.4,166.8,181.5
501,4.3,4.4,149.5,175.4,165.9,181.4
502,4.3,4.4,149.3,175.3,165.9,181.2
503,4.4,4.4,149.3,175.3,165.0,180.9
504,4.4,4.4,149.2,175.2,165.0,181.0
505,4.3,4.4,149.4,175.4,166.8,181.6
506,4.2,4.3,149.8,174.9,193.6,182.2
507,4.3,4.4,149.5,175.0,196.1,181.7
508,4.2,4.2,149.8,174.9,193.5,182.2
509,4.3,4.3,149.6,175.0,194.4,182.0
510,4.3,4.4,149.5,175.0,195.7,181.7
511,4.3,4.4,149.5,175.0,196.1,181.7
512,4.2,4.2,150.2,174.8,180.5,182.7
513,4.2,4.2,150.2,174.8,179.7,182.8
514,4.2,4.2,150.7,174.8,178.0,182.9
515,4.2,4.2,151.3,174.9,173.7,182.4
516,4.2,4.2,151.5,174.9,171.9,182.2
517,4.2,4.2,151.0,174.9,175.4,182.8
518,4.2,4.2,151.4,174.9,172.8,182.4
519,4.2,4.2,151.3,174.9,174.5,182.6
520,4.2,4.2,151.3,174.9,174.5,182.6
521,4.2,4.2,151.3,174.9,172.8,182.3
